tconst	averageRating	numVotes
tt0021239	5.3	198
tt0021240	6.1	240
tt0021247	7.2	157
tt0021263	6.0	221
tt0021268	7.1	189
tt0021273	6.9	516
tt0021276	5.7	114
tt0021280	5.0	134
tt0021281	6.4	769
tt0021282	5.7	344
tt0021283	6.4	389
tt0021287	5.5	344
tt0021292	5.6	485
tt0021294	5.7	592
tt0021295	5.0	216
tt0021297	6.6	156
tt0021303	5.5	109
tt0021304	5.7	158
tt0021307	5.9	123
tt0021309	7.8	1147
tt0021310	5.9	686
tt0021322	6.3	297
tt0021324	5.2	211
tt0021331	7.4	5902
tt0021335	5.6	206
tt0021345	5.5	182
tt0021365	5.1	101
tt0021371	6.3	272
tt0021374	5.9	417
tt0021375	7.0	745
tt0021376	5.5	245
tt0021377	6.2	485
tt0021381	6.3	537
tt0021382	6.2	181
tt0021394	6.2	143
tt0021400	6.0	147
tt0021401	5.4	141
tt0021406	7.0	672
tt0021408	6.0	337
tt0021409	7.1	1987
tt0021413	5.5	238
tt0021420	6.8	200
tt0021435	5.2	113
tt0021439	5.1	114
tt0021463	6.5	126
tt0021464	5.5	212
tt0021472	5.9	169
tt0021483	6.3	164
tt0021484	7.2	104
tt0021486	6.1	172
tt0021492	6.7	103
tt0021493	5.7	253
tt0021505	6.8	1072
tt0021508	6.0	1054
tt0021511	5.8	115
tt0021525	5.5	120
tt0021531	6.1	235
tt0021533	5.6	685
tt0021534	5.7	546
tt0021542	7.4	1673
tt0021549	6.3	939
tt0021550	6.0	153
tt0021551	6.5	351
tt0021568	6.1	146
tt0021571	7.3	5016
tt0021577	7.3	12711
tt0021580	6.1	267
tt0021594	6.2	105
tt0021595	6.0	229
tt0021599	4.6	117
tt0021606	6.2	122
tt0021607	6.5	658
tt0021615	5.8	185
tt0021622	6.2	1526
tt0021632	6.2	345
tt0021633	6.5	1036
tt0021635	6.5	1087
tt0021636	6.3	1010
tt0021647	6.9	476
tt0021649	6.1	376
tt0021653	6.8	105
tt0021654	6.7	620
tt0021657	5.9	242
tt0021659	5.7	109
tt0021668	6.8	1314
tt0021673	7.1	1667
tt0021681	5.9	111
tt0021684	5.8	240
tt0021695	6.6	101
tt0021697	5.9	252
tt0021707	6.5	134
tt0021725	6.6	186
tt0021730	7.3	2776
tt0021732	6.4	153
tt0021733	6.7	475
tt0021735	6.4	444
tt0021739	7.6	3692
tt0021743	4.4	109
tt0021746	5.9	5368
tt0021749	8.5	165206
tt0021750	7.1	1359
tt0021754	6.9	169
tt0021756	6.0	249
tt0021759	6.5	284
tt0021761	6.1	415
tt0021764	5.8	176
tt0021768	6.3	229
tt0021770	7.0	907
tt0021772	5.6	150
tt0021778	6.2	810
tt0021780	6.1	841
tt0021785	6.1	372
tt0021786	6.2	120
tt0021793	5.9	190
tt0021798	6.2	198
tt0021799	6.3	543
tt0021800	7.3	2073
tt0021807	6.2	126
tt0021814	7.5	46208
tt0021815	7.2	3981
tt0021818	7.3	1971
tt0021820	5.7	225
tt0021825	6.1	447
tt0021826	6.0	141
tt0021828	5.6	173
tt0021829	6.0	148
tt0021836	7.2	555
tt0021840	6.0	131
tt0021845	5.6	187
tt0021847	6.5	111
tt0021859	5.2	112
tt0021861	5.7	528
tt0021864	6.1	220
tt0021865	5.9	397
tt0021873	7.2	1781
tt0021874	6.3	1261
tt0021879	5.7	209
tt0021884	7.8	64586
tt0021885	6.7	2246
tt0021889	5.4	298
tt0021890	6.7	2412
tt0021895	5.5	129
tt0021900	5.1	130
tt0021906	6.4	732
tt0021910	7.0	546
tt0021917	5.3	317
tt0021919	5.9	162
tt0021927	5.7	155
tt0021928	6.2	118
tt0021931	6.5	458
tt0021932	6.7	236
tt0021933	6.9	644
tt0021952	5.9	167
tt0021963	5.9	127
tt0021966	5.5	200
tt0021969	6.7	172
tt0021973	5.8	143
tt0021978	6.9	159
